stock,buy_price,n_shares,sell_price,net_gain,buy_date,sell_date
001440,1742,1,1837,95,2021-12-01,2021-12-08
001440,1727,1,1670,-57,2021-12-16,2021-12-21
001440,1689,1,1604,-85,2021-12-22,2021-12-23
001440,1665,1,1751,86,2021-12-24,2021-12-29
001440,1656,1,1594,-62,2022-01-06,2022-01-11
001440,1775,1,1632,-143,2022-01-12,2022-01-14
001440,1613,1,1675,62,2022-01-17,2022-01-21
001440,1565,1,1515,-50,2022-02-08,2022-02-10
001440,1435,1,1380,-55,2022-02-11,2022-02-14
001440,1395,2,1520,250,2022-02-15,2022-02-17
001440,1435,2,1495,120,2022-02-22,2022-02-25
001440,1495,2,1600,210,2022-02-26,2022-02-28
001440,1415,2,1465,100,2022-03-07,2022-03-17
001440,1405,2,1850,890,2022-03-29,2022-03-31
